City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sakakah,SA,2021-10-28 23:46:08,29.9697,40.2064,67.57,30,59,5.7,broken clouds
1,Vaini,TO,2021-10-28 23:46:09,-21.2,-175.2,80.76,78,75,10.36,broken clouds
2,Hithadhoo,MV,2021-10-28 23:46:09,-0.6,73.0833,82.9,74,100,11.72,overcast clouds
3,Salinopolis,BR,2021-10-28 23:46:10,-0.6136,-47.3561,78.1,85,58,7.07,broken clouds
4,Busselton,AU,2021-10-28 23:46:10,-33.65,115.3333,51.04,62,45,6.71,scattered clouds
5,Cape Town,ZA,2021-10-28 23:42:42,-33.9258,18.4232,62.89,71,40,3.0,scattered clouds
6,Port Elizabeth,ZA,2021-10-28 23:46:11,-33.918,25.5701,65.1,94,0,3.44,clear sky
7,Rypefjord,NO,2021-10-28 23:46:11,70.6333,23.6667,39.67,87,90,11.5,light intensity drizzle
8,Georgetown,MY,2021-10-28 23:46:12,5.4112,100.3354,78.89,88,40,1.01,scattered clouds
9,Punta Arenas,CL,2021-10-28 23:45:30,-53.15,-70.9167,59.11,58,90,13.8,overcast clouds
10,Acari,PE,2021-10-28 23:46:12,-15.4311,-74.6158,70.11,74,76,4.41,broken clouds
11,Severo-Kurilsk,RU,2021-10-28 23:46:13,50.6789,156.125,42.62,96,100,8.16,moderate rain
12,Bluff,NZ,2021-10-28 23:41:51,-46.6,168.3333,59.41,76,39,7.25,scattered clouds
13,Camacha,PT,2021-10-28 23:46:13,33.0833,-16.3333,67.42,78,20,11.5,few clouds
14,Aklavik,CA,2021-10-28 23:46:14,68.2191,-135.0107,27.43,96,80,1.41,broken clouds
15,Qaanaaq,GL,2021-10-28 23:46:14,77.484,-69.3632,18.52,85,97,6.85,overcast clouds
16,Honiara,SB,2021-10-28 23:46:14,-9.4333,159.95,89.02,62,24,5.77,few clouds
17,Ajaccio,FR,2021-10-28 23:46:15,42.0,8.9167,53.76,94,90,5.75,overcast clouds
18,Port Alfred,ZA,2021-10-28 23:46:15,-33.5906,26.891,67.51,92,100,12.08,overcast clouds
19,East London,ZA,2021-10-28 23:42:02,-33.0153,27.9116,66.09,96,100,13.04,moderate rain
20,Caravelas,BR,2021-10-28 23:46:16,-17.7125,-39.2481,74.75,72,4,8.21,clear sky
21,Ushuaia,AR,2021-10-28 23:46:16,-54.8,-68.3,58.66,38,20,9.22,few clouds
22,Rikitea,PF,2021-10-28 23:46:17,-23.1203,-134.9692,75.94,78,74,19.06,light rain
23,Castro,BR,2021-10-28 23:46:17,-24.7911,-50.0119,61.39,96,92,7.99,overcast clouds
24,Santana,BR,2021-10-28 23:46:18,-0.0583,-51.1817,87.98,58,20,8.05,few clouds
25,Lompoc,US,2021-10-28 23:44:14,34.6391,-120.4579,88.12,38,1,9.22,clear sky
26,Komsomolskiy,UZ,2021-10-28 23:46:19,40.4272,71.7189,48.92,61,40,2.3,scattered clouds
27,Tukrah,LY,2021-10-28 23:46:19,32.5341,20.5791,69.44,80,38,7.49,scattered clouds
28,Marawi,PH,2021-10-28 23:46:20,7.9986,124.2928,70.65,82,18,1.97,few clouds
29,Antalya,TR,2021-10-28 23:44:14,36.7741,30.7178,59.59,63,0,5.75,clear sky
30,Hurricane,US,2021-10-28 23:46:20,37.1753,-113.2899,75.54,38,0,4.65,clear sky
31,Alofi,NU,2021-10-28 23:46:20,-19.0595,-169.9187,82.29,61,75,16.11,light rain
32,Baruun-Urt,MN,2021-10-28 23:46:21,46.6806,113.2792,39.0,50,100,5.68,overcast clouds
33,Drovyanaya,RU,2021-10-28 23:46:21,51.5833,113.0333,29.71,62,100,5.26,overcast clouds
34,Kapaa,US,2021-10-28 23:44:43,22.0752,-159.319,79.12,87,20,7.0,light rain
