City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Salinopolis,BR,78.1,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
8,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
34,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
89,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
123,Bengkulu,ID,78.22,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
153,Mitsamiouli,KM,78.55,clear sky,-11.3847,43.2844,Foyer ADM
158,Boueni,YT,78.78,scattered clouds,-12.9025,45.0761,The feet in water
182,Sao Filipe,CV,78.89,overcast clouds,14.8961,-24.4956,Hotel Xaguate
184,Maicao,CO,79.72,light rain,11.3832,-72.2432,Hotel Sancho
189,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
216,Hambantota,LK,78.17,light rain,6.1241,81.1185,Bungalow 63
253,Pizarro,CO,78.44,light rain,4.9533,-77.366,Hotel Limonar
256,Bilma,NE,78.82,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
275,Sinnamary,GF,78.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
297,Ciudad Bolivar,VE,79.34,overcast clouds,8.1222,-63.5497,Hotel Edi
317,Faanui,PF,79.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
331,Kathu,TH,78.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
355,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
402,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
439,Vaitape,PF,79.3,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
446,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
467,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
473,Guiratinga,BR,78.08,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
480,Port Macquarie,AU,79.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
492,Jiwani,PK,78.26,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
524,Grand-Santi,GF,79.14,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
526,Boyolangu,ID,79.92,moderate rain,-8.1181,111.8935,Yos ega cv
531,Muscat,OM,78.82,clear sky,23.6139,58.5922,Mutrah Hotel
532,Sibolga,ID,78.13,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
583,Ormara,PK,78.66,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
594,Bubaque,GW,78.22,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
597,Padang,ID,78.91,overcast clouds,-0.9492,100.3543,Mercure Padang
599,Fare,PF,79.09,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
627,Puerto Narino,CO,78.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
629,Karaton,ID,79.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
655,Manat,PH,79.41,scattered clouds,7.5327,126.0173,Junora Inland Resort
657,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
